wall_time_s,element_id,active_total,active_fresh,active_stale,inactive_total,collision_count,fresh_ratio,quorum_held,cp_frozen,cycle_count
0.305,1,0,0,0,0,0,1.0,1,0,1
0.305,0,0,0,0,0,0,1.0,1,0,1
0.305,2,0,0,0,0,0,1.0,1,0,1
0.305,3,0,0,0,0,0,1.0,1,0,1
0.305,4,0,0,0,0,0,1.0,1,0,1
0.412,0,0,0,0,0,0,1.0,1,0,2
0.413,1,0,0,0,0,0,1.0,1,0,2
0.414,2,0,0,0,0,0,1.0,1,0,2
0.414,3,0,0,0,0,0,1.0,1,0,2
0.415,4,0,0,0,0,0,1.0,1,0,2
0.522,0,0,0,0,0,0,1.0,1,0,3
0.523,1,0,0,0,0,0,1.0,1,0,3
0.524,2,0,0,0,0,0,1.0,1,0,3
0.524,3,0,0,0,0,0,1.0,1,0,3
0.525,4,0,0,0,0,0,1.0,1,0,3
0.632,0,0,0,0,0,0,1.0,1,0,4
0.633,1,0,0,0,0,0,1.0,1,0,4
0.634,2,0,0,0,0,0,1.0,1,0,4
0.634,3,0,0,0,0,0,1.0,1,0,4
0.635,4,0,0,0,0,0,1.0,1,0,4
0.742,0,0,0,0,0,0,1.0,1,0,5
0.743,1,1,1,0,0,0,1.0,1,0,5
0.744,2,2,2,0,0,0,1.0,1,0,5
0.744,3,3,3,0,0,0,1.0,1,0,5
0.745,4,4,4,0,0,0,1.0,1,0,5
0.852,0,4,4,0,0,0,1.0,1,0,6
0.853,1,4,4,0,0,0,1.0,1,0,6
0.854,2,4,4,0,0,0,1.0,1,0,6
0.854,3,4,4,0,0,0,1.0,1,0,6
0.855,4,4,4,0,0,0,1.0,1,0,6
0.962,0,4,4,0,0,0,1.0,1,0,7
0.963,1,4,4,0,0,0,1.0,1,0,7
0.964,2,4,4,0,0,0,1.0,1,0,7
0.964,3,4,4,0,0,0,1.0,1,0,7
0.965,4,4,4,0,0,0,1.0,1,0,7
1.072,0,4,4,0,0,0,1.0,1,0,8
1.073,1,4,4,0,0,0,1.0,1,0,8
1.074,2,4,4,0,0,0,1.0,1,0,8
1.074,3,4,4,0,0,0,1.0,1,0,8
1.075,4,4,4,0,0,0,1.0,1,0,8
1.182,0,4,4,0,0,0,1.0,1,0,9
1.183,1,4,4,0,0,0,1.0,1,0,9
1.184,2,4,4,0,0,0,1.0,1,0,9
1.184,3,4,4,0,0,0,1.0,1,0,9
1.185,4,4,4,0,0,0,1.0,1,0,9
1.292,0,4,4,0,0,0,1.0,1,0,10
1.293,1,4,4,0,0,0,1.0,1,0,10
1.294,2,4,4,0,0,0,1.0,1,0,10
1.294,3,4,4,0,0,0,1.0,1,0,10
1.295,4,4,4,0,0,0,1.0,1,0,10
